HNetID,VIN,Stock #,Stock-Type,Year,Make,Model,Model-No,Model-Type,Transmission,Trim-Level,# of Doors,Mileage,# of Cyl,Engine,Drivetrain,Ext. Color,Int. Color,Invoice Price,Retail Price,Book Value,Selling Price,Entry Date,Certified,Description,Options,Wheelbase,Commercial
2122511,KNAFK4A6XF5413616,K20839,NEW,2015,KIA,Forte,C3422/020,SD,AUTOMATIC,,,16,,,,SILKY_SILVER/SILKY_SILVER,,17995.00,18515.00,,18515.00,04/13/15,,,CF CT,,
2122511,5XXGN4A79FG407969,K20053,NEW,2015,KIA,OPTIMA,53242/010,SEDAN,,,,9,,G4KJEK60584,,STM/SATIN_METAL,,24012.00,25325.00,,25325.00,10/17/14,,,RSP,,
2122511,KNDJN2A28F7791301,K20708,NEW,2015,KIA,SOUL,B1512/010,WG,AUTOMATIC,,,8,,,,SHADOW_BLACK/SHADOW_BLACK,,17779.00,18135.00,,18135.00,03/31/15,,,CF,,
2122511,KNAFK4A66F5410969,K20840,NEW,2015,KIA,Forte,C3422/020,SD,AUTOMATIC,,,10,,,,SILKY_SILVER/SILKY_SILVER,,17995.00,18515.00,,18515.00,04/13/15,,,CF CT,,
2122511,KNDJN2A2XF7790490,K20709,NEW,2015,KIA,SOUL,B1512/010,WG,AUTOMATIC,,,9,,,,BRIGHT_SILVER/BRIGHT_SILVER,,17779.00,18135.00,,18135.00,03/31/15,,,CF,,
2122511,KNAFX6A80F5357474,K20578,NEW,2015,KIA,Forte,D5262/020,SD,AUTOMATIC,,,6,,,,GRAPHITE_STEEL/GRAPHITE_STEEL,,19892.00,20630.00,,20630.00,03/18/15,,,CF MUG,,
2122511,5XXGM4A71FG446008,K20447,NEW,2015,KIA,OPTIMA,53222/025,SD,AUTOMATIC,,,6,,,,SPARKLING_SILVER/SPARKLING_SILVER,,23282.00,24120.00,,24120.00,02/06/15,,,CF CKG RS,,
2122511,KNDJN2A26F7192476,K20710,NEW,2015,KIA,SOUL,B1512/010,WG,AUTOMATIC,,,9,,,,LATTE_BROWN/LATTE_BROWN,,17779.00,18135.00,,18135.00,03/31/15,,,CF,,
2122511,KNDPBCAC7F7759960,K20579,NEW,2015,KIA,SPORTAGE,UT,MP,AUTOMATIC,,,4,,,,TWILIGHT_BLUE/TWILIGHT_BLUE,,23763.00,24475.00,,24475.00,03/18/15,,,CF CN,,
2122511,KNAFK4A63F5410959,K20841,NEW,2015,KIA,Forte,C3422/020,SD,AUTOMATIC,,,8,,,,SILKY_SILVER/SILKY_SILVER,,17995.00,18515.00,,18515.00,04/13/15,,,CF CT,,
2122511,5XXGM4A73FG447984,K20449,NEW,2015,KIA,OPTIMA,53222/025,SD,AUTOMATIC,,,3,,,,TITANIUM_GRAY/TITANIUM_GRAY,,23282.00,24120.00,,24120.00,02/06/15,,,CF CKG RS,,
2122511,KNDJN2A2XF7195204,K20711,NEW,2015,KIA,SOUL,B1512/010,WG,AUTOMATIC,,,9,,,,LATTE_BROWN/LATTE_BROWN,,17779.00,18135.00,,18135.00,03/31/15,,,CF,,
2122511,KNAGM4A75F5592638,K20580,NEW,2015,KIA,OPTIMA,53222/010,SD,AUTOMATIC,,,3,,,,SNOW_WHITE_PEARL/SNOW_WHITE_PEARL,,22126.00,22845.00,,22845.00,03/18/15,,,SWP CF,,
2122511,KNAFK4A65F5410963,K20842,NEW,2015,KIA,Forte,C3422/020,SD,AUTOMATIC,,,4,,,,SILKY_SILVER/SILKY_SILVER,,17995.00,18515.00,,18515.00,04/13/15,,,CF CT,,
2122511,KNAFK4A66F5410941,K20843,NEW,2015,KIA,Forte,C3422/020,SD,AUTOMATIC,,,10,,,,SILKY_SILVER/SILKY_SILVER,,17995.00,18515.00,,18515.00,04/13/15,,,CF CT,,
2122511,KNDMB5C15F6019159,K20057,NEW,2015,KIA,SEDONA,64222/010,MINIVAN,,,,5,,G6DHES19415,,UD/CLEAR_WHITE,,28514.00,29240.00,,29240.00,10/17/14,,,CF CN,,
2122511,KNAGM4ADXF5077382,K20581,NEW,2015,KIA,OPTIMA,Z5222/010,SD,AUTOMATIC,,,4,,,,ALUMINUM_SILVER/ALUMINUM_SILVER,,26884.00,28340.00,,28340.00,03/18/15,,,BA CN HCN,,
